-0.6	-0.4	0.058	-0.048
-0.6	-0.2	0.038	-0.054
-0.6	0	0.018	-0.06
-0.6	0.2	-0.002	-0.066
-0.6	0.4	-0.022	-0.072
-0.6	0.6	-0.042	-0.078
-0.6	0.8	-0.062	-0.084
-0.6	1	-0.082	-0.09
-0.6	1.2	-0.102	-0.096
-0.6	1.4	-0.122	-0.102
-0.6	1.6	-0.142	-0.108
-0.6	1.8	-0.162	-0.114
-0.6	2	-0.182	-0.12

-0.4	-2	0.212	0.02
-0.4	-1.8	0.192	0.014
-0.4	-1.6	0.172	0.008
-0.4	-1.4	0.152	0.002
-0.4	-1.2	0.132	-0.004
-0.4	-1	0.112	-0.01
-0.4	-0.8	0.092	-0.016
-0.4	-0.6	0.072	-0.022
-0.4	-0.4	0.052	-0.028
-0.4	-0.2	0.032	-0.034
-0.4	0	0.012	-0.04
-0.4	0.2	-0.008	-0.046
-0.4	0.4	-0.028	-0.052
-0.4	0.6	-0.048	-0.058
-0.4	0.8	-0.068	-0.064
-0.4	1	-0.088	-0.07
-0.4	1.2	-0.108	-0.076
-0.4	1.4	-0.128	-0.082
-0.4	1.6	-0.148	-0.088
-0.4	1.8	-0.168	-0.094
-0.4	2	-0.188	-0.1

-0.2	-2	0.206	0.04
-0.2	-1.8	0.186	0.034
-0.2	-1.6	0.166	0.028
-0.2	-1.4	0.146	0.022
-0.2	-1.2	0.126	0.016
-0.2	-1	0.106	0.01
-0.2	-0.8	0.086	0.004
-0.2	-0.6	0.066	-0.002
-0.2	-0.4	0.046	-0.008
-0.2	-0.2	0.026	-0.014
-0.2	0	0.006	-0.02
-0.2	0.2	-0.014	-0.026
-0.2	0.4	-0.034	-0.032
-0.2	0.6	-0.054	-0.038
-0.2	0.8	-0.074	-0.044
-0.2	1	-0.094	-0.05
-0.2	1.2	-0.114	-0.056
-0.2	1.4	-0.134	-0.062
-0.2	1.6	-0.154	-0.068
-0.2	1.8	-0.174	-0.074
-0.2	2	-0.194	-0.08

0	-2	0.2	0.06
0	-1.8	0.18	0.054
0	-1.6	0.16	0.048
0	-1.4	0.14	0.042
0	-1.2	0.12	0.036
0	-1	0.1	0.03
0	-0.8	0.08	0.024
0	-0.6	0.06	0.018
0	-0.4	0.04	0.012
0	-0.2	0.02	0.006
0	0	-0	0
0	0.2	-0.02	-0.006
0	0.4	-0.04	-0.012
0	0.6	-0.06	-0.018
0	0.8	-0.08	-0.024
0	1	-0.1	-0.03
0	1.2	-0.12	-0.036
0	1.4	-0.14	-0.042
0	1.6	-0.16	-0.048
0	1.8	-0.18	-0.054
0	2	-0.2	-0.06

0.2	-2	0.194	0.08
0.2	-1.8	0.174	0.074
0.2	-1.6	0.154	0.068
0.2	-1.4	0.134	0.062
0.2	-1.2	0.114	0.056
0.2	-1	0.094	0.05
0.2	-0.8	0.074	0.044
0.2	-0.6	0.054	0.038
0.2	-0.4	0.034	0.032
0.2	-0.2	0.014	0.026
0.2	0	-0.006	0.02
0.2	0.2	-0.026	0.014
0.2	0.4	-0.046	0.008
0.2	0.6	-0.066	0.002
0.2	0.8	-0.086	-0.004
0.2	1	-0.106	-0.01
0.2	1.2	-0.126	-0.016
0.2	1.4	-0.146	-0.022
0.2	1.6	-0.166	-0.028
0.2	1.8	-0.186	-0.034
0.2	2	-0.206	-0.04

0.4	-2	0.188	0.1
0.4	-1.8	0.168	0.094
0.4	-1.6	0.148	0.088
0.4	-1.4	0.128	0.082
0.4	-1.2	0.108	0.076
0.4	-1	0.088	0.07
0.4	-0.8	0.068	0.064
0.4	-0.6	0.048	0.058
0.4	-0.4	0.028	0.052
0.4	-0.2	0.008	0.046
0.4	0	-0.012	0.04
0.4	0.2	-0.032	0.034
0.4	0.4	-0.052	0.028
0.4	0.6	-0.072	0.022
0.4	0.8	-0.092	0.016
0.4	1	-0.112	0.01
0.4	1.2	-0.132	0.004
0.4	1.4	-0.152	-0.002
0.4	1.6	-0.172	-0.008
0.4	1.8	-0.192	-0.014
0.4	2	-0.212	-0.02

0.6	-2	0.182	0.12
0.6	-1.8	0.162	0.114
0.6	-1.6	0.142	0.108
0.6	-1.4	0.122	0.102
0.6	-1.2	0.102	0.096
0.6	-1	0.082	0.09
0.6	-0.8	0.062	0.084
0.6	-0.6	0.042	0.078
0.6	-0.4	0.022	0.072
0.6	-0.2	0.002	0.066
0.6	0	-0.018	0.06
0.6	0.2	-0.038	0.054
0.6	0.4	-0.058	0.048
0.6	0.6	-0.078	0.042
0.6	0.8	-0.098	0.036
0.6	1	-0.118	0.03
0.6	1.2	-0.138	0.024
0.6	1.4	-0.158	0.018
0.6	1.6	-0.178	0.012
0.6	1.8	-0.198	0.006
0.6	2	-0.218	1.11022e-17

0.8	-2	0.176	0.14
0.8	-1.8	0.156	0.134
0.8	-1.6	0.136	0.128
0.8	-1.4	0.116	0.122
0.8	-1.2	0.096	0.116
0.8	-1	0.076	0.11
0.8	-0.8	0.056	0.104
0.8	-0.6	0.036	0.098
0.8	-0.4	0.016	0.092
0.8	-0.2	-0.004	0.086
0.8	0	-0.024	0.08
0.8	0.2	-0.044	0.074
0.8	0.4	-0.064	0.068
0.8	0.6	-0.084	0.062
0.8	0.8	-0.104	0.056
0.8	1	-0.124	0.05
0.8	1.2	-0.144	0.044
0.8	1.4	-0.164	0.038
0.8	1.6	-0.184	0.032
0.8	1.8	-0.204	0.026
0.8	2	-0.224	0.02

1	-2	0.17	0.16
1	-1.8	0.15	0.154
1	-1.6	0.13	0.148
1	-1.4	0.11	0.142
1	-1.2	0.09	0.136
1	-1	0.07	0.13
1	-0.8	0.05	0.124
1	-0.6	0.03	0.118
1	-0.4	0.01	0.112
1	-0.2	-0.01	0.106
1	0	-0.03	0.1
1	0.2	-0.05	0.094
1	0.4	-0.07	0.088
1	0.6	-0.09	0.082
1	0.8	-0.11	0.076
1	1	-0.13	0.07
1	1.2	-0.15	0.064
1	1.4	-0.17	0.058
1	1.6	-0.19	0.052
1	1.8	-0.21	0.046
1	2	-0.23	0.04

1.2	-2	0.164	0.18
1.2	-1.8	0.144	0.174
1.2	-1.6	0.124	0.168
1.2	-1.4	0.104	0.162
1.2	-1.2	0.084	0.156
1.2	-1	0.064	0.15
1.2	-0.8	0.044	0.144
1.2	-0.6	0.024	0.138
1.2	-0.4	0.004	0.132
1.2	-0.2	-0.016	0.126
1.2	0	-0.036	0.12
1.2	0.2	-0.056	0.114
1.2	0.4	-0.076	0.108
1.2	0.6	-0.096	0.102
1.2	0.8	-0.116	0.096
1.2	1	-0.136	0.09
1.2	1.2	-0.156	0.084
1.2	1.4	-0.176	0.078
1.2	1.6	-0.196	0.072
1.2	1.8	-0.216	0.066
1.2	2	-0.236	0.06

1.4	-2	0.158	0.2
1.4	-1.8	0.138	0.194
1.4	-1.6	0.118	0.188
1.4	-1.4	0.098	0.182
1.4	-1.2	0.078	0.176
1.4	-1	0.058	0.17
1.4	-0.8	0.038	0.164
1.4	-0.6	0.018	0.158
1.4	-0.4	-0.002	0.152
1.4	-0.2	-0.022	0.146
1.4	0	-0.042	0.14
1.4	0.2	-0.062	0.134
1.4	0.4	-0.082	0.128
1.4	0.6	-0.102	0.122
1.4	0.8	-0.122	0.116
1.4	1	-0.142	0.11
1.4	1.2	-0.162	0.104
1.4	1.4	-0.182	0.098
1.4	1.6	-0.202	0.092
1.4	1.8	-0.222	0.086
1.4	2	-0.242	0.08

1.6	-2	0.152	0.22
1.6	-1.8	0.132	0.214
1.6	-1.6	0.112	0.208
1.6	-1.4	0.092	0.202
1.6	-1.2	0.072	0.196
1.6	-1	0.052	0.19
1.6	-0.8	0.032	0.184
1.6	-0.6	0.012	0.178
1.6	-0.4	-0.008	0.172
1.6	-0.2	-0.028	0.166
1.6	0	-0.048	0.16
1.6	0.2	-0.068	0.154
1.6	0.4	-0.088	0.148
1.6	0.6	-0.108	0.142
1.6	0.8	-0.128	0.136
1.6	1	-0.148	0.13
1.6	1.2	-0.168	0.124
1.6	1.4	-0.188	0.118
1.6	1.6	-0.208	0.112
1.6	1.8	-0.228	0.106
1.6	2	-0.248	0.1

1.8	-2	0.146	0.24
1.8	-1.8	0.126	0.234
1.8	-1.6	0.106	0.228
1.8	-1.4	0.086	0.222
1.8	-1.2	0.066	0.216
1.8	-1	0.046	0.21
1.8	-0.8	0.026	0.204
1.8	-0.6	0.006	0.198
1.8	-0.4	-0.014	0.192
1.8	-0.2	-0.034	0.186
1.8	0	-0.054	0.18
1.8	0.2	-0.074	0.174
1.8	0.4	-0.094	0.168
1.8	0.6	-0.114	0.162
1.8	0.8	-0.134	0.156
1.8	1	-0.154	0.15
1.8	1.2	-0.174	0.144
1.8	1.4	-0.194	0.138
1.8	1.6	-0.214	0.132
1.8	1.8	-0.234	0.126
1.8	2	-0.254	0.12

2	-2	0.14	0.26
2	-1.8	0.12	0.254
2	-1.6	0.1	0.248
2	-1.4	0.08	0.242
2	-1.2	0.06	0.236
2	-1	0.04	0.23
2	-0.8	0.02	0.224
2	-0.6	1.11022e-17	0.218
2	-0.4	-0.02	0.212
2	-0.2	-0.04	0.206
2	0	-0.06	0.2
2	0.2	-0.08	0.194
2	0.4	-0.1	0.188
2	0.6	-0.12	0.182
2	0.8	-0.14	0.176
2	1	-0.16	0.17
2	1.2	-0.18	0.164
2	1.4	-0.2	0.158
2	1.6	-0.22	0.152
2	1.8	-0.24	0.146
2	2	-0.26	0.14

