0	0	0.1	0
0	0.125	0.1	0.0109375
0	0.25	0.1	0.01875
0	0.375	0.1	0.0234375
0	0.5	0.1	0.025
0	0.625	0.1	0.0234375
0	0.75	0.1	0.01875
0	0.875	0.1	0.0109375
0	1	0.1	0
0	1.125	0.1	-0.0140625
0	1.25	0.1	-0.03125
0	1.375	0.1	-0.0515625
0	1.5	0.1	-0.075
0	1.625	0.1	-0.101562
0	1.75	0.1	-0.13125
0	1.875	0.1	-0.164062
0	2	0.1	-0.2

0.125	0	0.1	0
0.125	0.125	0.1	0.0109375
0.125	0.25	0.1	0.01875
0.125	0.375	0.1	0.0234375
0.125	0.5	0.1	0.025
0.125	0.625	0.1	0.0234375
0.125	0.75	0.1	0.01875
0.125	0.875	0.1	0.0109375
0.125	1	0.1	0
0.125	1.125	0.1	-0.0140625
0.125	1.25	0.1	-0.03125
0.125	1.375	0.1	-0.0515625
0.125	1.5	0.1	-0.075
0.125	1.625	0.1	-0.101562
0.125	1.75	0.1	-0.13125
0.125	1.875	0.1	-0.164062
0.125	2	0.1	-0.2

0.25	0	0.1	0
0.25	0.125	0.1	0.0109375
0.25	0.25	0.1	0.01875
0.25	0.375	0.1	0.0234375
0.25	0.5	0.1	0.025
0.25	0.625	0.1	0.0234375
0.25	0.75	0.1	0.01875
0.25	0.875	0.1	0.0109375
0.25	1	0.1	0
0.25	1.125	0.1	-0.0140625
0.25	1.25	0.1	-0.03125
0.25	1.375	0.1	-0.0515625
0.25	1.5	0.1	-0.075
0.25	1.625	0.1	-0.101562
0.25	1.75	0.1	-0.13125
0.25	1.875	0.1	-0.164062
0.25	2	0.1	-0.2

0.375	0	0.1	0
0.375	0.125	0.1	0.0109375
0.375	0.25	0.1	0.01875
0.375	0.375	0.1	0.0234375
0.375	0.5	0.1	0.025
0.375	0.625	0.1	0.0234375
0.375	0.75	0.1	0.01875
0.375	0.875	0.1	0.0109375
0.375	1	0.1	0
0.375	1.125	0.1	-0.0140625
0.375	1.25	0.1	-0.03125
0.375	1.375	0.1	-0.0515625
0.375	1.5	0.1	-0.075
0.375	1.625	0.1	-0.101562
0.375	1.75	0.1	-0.13125
0.375	1.875	0.1	-0.164062
0.375	2	0.1	-0.2

0.5	0	0.1	0
0.5	0.125	0.1	0.0109375
0.5	0.25	0.1	0.01875
0.5	0.375	0.1	0.0234375
0.5	0.5	0.1	0.025
0.5	0.625	0.1	0.0234375
0.5	0.75	0.1	0.01875
0.5	0.875	0.1	0.0109375
0.5	1	0.1	0
0.5	1.125	0.1	-0.0140625
0.5	1.25	0.1	-0.03125
0.5	1.375	0.1	-0.0515625
0.5	1.5	0.1	-0.075
0.5	1.625	0.1	-0.101562
0.5	1.75	0.1	-0.13125
0.5	1.875	0.1	-0.164062
0.5	2	0.1	-0.2

0.625	0	0.1	0
0.625	0.125	0.1	0.0109375
0.625	0.25	0.1	0.01875
0.625	0.375	0.1	0.0234375
0.625	0.5	0.1	0.025
0.625	0.625	0.1	0.0234375
0.625	0.75	0.1	0.01875
0.625	0.875	0.1	0.0109375
0.625	1	0.1	0
0.625	1.125	0.1	-0.0140625
0.625	1.25	0.1	-0.03125
0.625	1.375	0.1	-0.0515625
0.625	1.5	0.1	-0.075
0.625	1.625	0.1	-0.101562
0.625	1.75	0.1	-0.13125
0.625	1.875	0.1	-0.164062
0.625	2	0.1	-0.2

0.75	0	0.1	0
0.75	0.125	0.1	0.0109375
0.75	0.25	0.1	0.01875
0.75	0.375	0.1	0.0234375
0.75	0.5	0.1	0.025
0.75	0.625	0.1	0.0234375
0.75	0.75	0.1	0.01875
0.75	0.875	0.1	0.0109375
0.75	1	0.1	0
0.75	1.125	0.1	-0.0140625
0.75	1.25	0.1	-0.03125
0.75	1.375	0.1	-0.0515625
0.75	1.5	0.1	-0.075
0.75	1.625	0.1	-0.101562
0.75	1.75	0.1	-0.13125
0.75	1.875	0.1	-0.164062
0.75	2	0.1	-0.2

0.875	0	0.1	0
0.875	0.125	0.1	0.0109375
0.875	0.25	0.1	0.01875
0.875	0.375	0.1	0.0234375
0.875	0.5	0.1	0.025
0.875	0.625	0.1	0.0234375
0.875	0.75	0.1	0.01875
0.875	0.875	0.1	0.0109375
0.875	1	0.1	0
0.875	1.125	0.1	-0.0140625
0.875	1.25	0.1	-0.03125
0.875	1.375	0.1	-0.0515625
0.875	1.5	0.1	-0.075
0.875	1.625	0.1	-0.101562
0.875	1.75	0.1	-0.13125
0.875	1.875	0.1	-0.164062
0.875	2	0.1	-0.2

1	0	0.1	0
1	0.125	0.1	0.0109375
1	0.25	0.1	0.01875
1	0.375	0.1	0.0234375
1	0.5	0.1	0.025
1	0.625	0.1	0.0234375
1	0.75	0.1	0.01875
1	0.875	0.1	0.0109375
1	1	0.1	0
1	1.125	0.1	-0.0140625
1	1.25	0.1	-0.03125
1	1.375	0.1	-0.0515625
1	1.5	0.1	-0.075
1	1.625	0.1	-0.101562
1	1.75	0.1	-0.13125
1	1.875	0.1	-0.164062
1	2	0.1	-0.2

1.125	0	0.1	0
1.125	0.125	0.1	0.0109375
1.125	0.25	0.1	0.01875
1.125	0.375	0.1	0.0234375
1.125	0.5	0.1	0.025
1.125	0.625	0.1	0.0234375
1.125	0.75	0.1	0.01875
1.125	0.875	0.1	0.0109375
1.125	1	0.1	0
1.125	1.125	0.1	-0.0140625
1.125	1.25	0.1	-0.03125
1.125	1.375	0.1	-0.0515625
1.125	1.5	0.1	-0.075
1.125	1.625	0.1	-0.101562
1.125	1.75	0.1	-0.13125
1.125	1.875	0.1	-0.164062
1.125	2	0.1	-0.2

1.25	0	0.1	0
1.25	0.125	0.1	0.0109375
1.25	0.25	0.1	0.01875
1.25	0.375	0.1	0.0234375
1.25	0.5	0.1	0.025
1.25	0.625	0.1	0.0234375
1.25	0.75	0.1	0.01875
1.25	0.875	0.1	0.0109375
1.25	1	0.1	0
1.25	1.125	0.1	-0.0140625
1.25	1.25	0.1	-0.03125
1.25	1.375	0.1	-0.0515625
1.25	1.5	0.1	-0.075
1.25	1.625	0.1	-0.101562
1.25	1.75	0.1	-0.13125
1.25	1.875	0.1	-0.164062
1.25	2	0.1	-0.2

1.375	0	0.1	0
1.375	0.125	0.1	0.0109375
1.375	0.25	0.1	0.01875
1.375	0.375	0.1	0.0234375
1.375	0.5	0.1	0.025
1.375	0.625	0.1	0.0234375
1.375	0.75	0.1	0.01875
1.375	0.875	0.1	0.0109375
1.375	1	0.1	0
1.375	1.125	0.1	-0.0140625
1.375	1.25	0.1	-0.03125
1.375	1.375	0.1	-0.0515625
1.375	1.5	0.1	-0.075
1.375	1.625	0.1	-0.101562
1.375	1.75	0.1	-0.13125
1.375	1.875	0.1	-0.164062
1.375	2	0.1	-0.2

1.5	0	0.1	0
1.5	0.125	0.1	0.0109375
1.5	0.25	0.1	0.01875
1.5	0.375	0.1	0.0234375
1.5	0.5	0.1	0.025
1.5	0.625	0.1	0.0234375
1.5	0.75	0.1	0.01875
1.5	0.875	0.1	0.0109375
1.5	1	0.1	0
1.5	1.125	0.1	-0.0140625
1.5	1.25	0.1	-0.03125
1.5	1.375	0.1	-0.0515625
1.5	1.5	0.1	-0.075
1.5	1.625	0.1	-0.101562
